rank_name,email,password,role,organisation,phone,license_number,license_expiry
Lt Shrey Sharma,shrey@stiff.dev,Shrey12345678,super_admin,17 JAK LI
Tiger,tiger@stiff.dev,Tiger12345678,super_admin,17 JAK LI
Sub Irshad Ahmad Wani,irshad@stiff.dev,Irshad12345678,operator,17 JAK LI
Nb Sub Liaqat,liaqat@stiff.dev,Liaqat12345678,operator,17 JAK LI,,,2027-09-15
Nb Sub Shiv Dutt,shivdutt@stiff.dev,Shivdutt12345678,operator,17 JAK LI
Hav Mohd Iqbal Shah,iqbal@stiff.dev,Iqbal12345678,operator,17 JAK LI
Nk Murtza Shareef,murtza@stiff.dev,Murtza12345678,operator,17 JAK LI
Nk Mushtaq Ahmed,mushtaq@stiff.dev,Mushtaq12345678,operator,17 JAK LI
Nk Gulshan Kumar,gulshan@stiff.dev,Gulshan12345678,operator,17 JAK LI
Nk Pankaj Kumar Sharma,pankaj@stiff.dev,Pankaj12345678,operator,17 JAK LI
Rfn Ajay Kumar,ajay@stiff.dev,Ajay12345678,operator,17 JAK LI
Rfn Sameer Ahmad Khandy,sameer@stiff.dev,Sameer12345678,operator,17 JAK LI
Rfn Javaid Ahmad Khaja,javaid@stiff.dev,Javaid12345678,operator,17 JAK LI
Rfn Rajnish Sharma,rajnish@stiff.dev,Rajnish12345678,operator,17 JAK LI
Rfn Nikhil Singh,nikhil@stiff.dev,Nikhil12345678,operator,17 JAK LI
Rfn Dhiraj Singh,dhiraj@stiff.dev,Dhiraj12345678,operator,17 JAK LI
Rfn Hilal Ah Tantry,hilal@stiff.dev,Hilal12345678,operator,17 JAK LI
Rfn Mandeep Singh,mandeep@stiff.dev,Mandeep12345678,operator,17 JAK LI
Rfn Anish Kumar,anish@stiff.dev,Anish12345678,operator,17 JAK LI
AV Rajnish Kumar,rajnishkumar@stiff.dev,Rajnishkumar12345678,operator,17 JAK LI
AV Sahil Proch,sahil@stiff.dev,Sahil12345678,operator,17 JAK LI
AV Rohit Kumar,rohit@stiff.dev,Rohit12345678,operator,17 JAK LI
AV Gourav Sharma,gourav@stiff.dev,Gourav12345678,operator,17 JAK LI
AV Shuvam Kumar,shuvam@stiff.dev,Shuvam12345678,operator,17 JAK LI
AV Shiv Kumar,shiv@stiff.dev,Shiv12345678,operator,17 JAK LI
AV Sukhdev Chandan,sukhdev@stiff.dev,Sukhdev12345678,operator,17 JAK LI
AV Zubair Hussain Najar,zubair@stiff.dev,Zubair12345678,operator,17 JAK LI
AV Amit Kumar,amit@stiff.dev,Amit12345678,operator,17 JAK LI
